#{"t_start": 1521694464.1732147, "env_id": null}
r,l,t
-5.92687,10,1.39344
-7.964399,10,1.396079
-2.205557,10,1.398643
-3.009614,10,1.401253
-10.48416,10,1.403832
-5.490707,10,1.406373
-17.287297,10,1.408927
-3.031779,10,1.4264
-4.475291,10,1.428963
-3.924722,10,1.431561
-2.63862,10,1.434158
-6.52536,10,1.436936
-11.718744,10,1.439452
-4.539448,10,1.442017
-7.284708,10,1.44462
-3.414575,10,1.447289
-5.069719,10,1.449812
-4.920207,10,1.46682
-4.895777,10,1.469451
-4.989113,10,1.472099
-9.516738,10,1.474639
-5.136146,10,1.47718
-3.657499,10,1.479728
-15.594216,10,1.482318
-3.656732,10,1.484871
-5.406049,10,1.487464
-2.768195,10,1.48999
-3.649564,10,1.506489
-13.57857,10,1.509014
-3.053337,10,1.511585
-3.376387,10,1.514119
-5.679185,10,1.516705
-39.864017,10,1.519261
-2.150955,10,1.521815
-2.198406,10,1.524303
-5.343621,10,1.52685
-3.652907,10,1.529466
-2.723085,10,1.545819
-1.299573,10,1.54839
-4.223553,10,1.550946
-6.719606,10,1.553554
-15.458752,10,1.556129
-21.258595,10,1.558745
-4.330883,10,1.561257
-2.574121,10,1.563816
-4.847012,10,1.566366
-3.221457,10,1.568982
-10.906411,10,1.585351
-8.223069,10,1.588091
-11.692565,10,1.590713
-2.130783,10,1.593341
-3.109464,10,1.59583
-3.40126,10,1.598408
-4.312304,10,1.600991
-8.420755,10,1.603542
-3.974872,10,1.606086
-9.433256,10,1.608687
-6.277547,10,1.626194
-19.390061,10,1.62886
-2.570513,10,1.631433
-6.070382,10,1.634037
-3.434676,10,1.636737
-4.086547,10,1.639363
-6.429982,10,1.641883
-4.447921,10,1.644445
-16.307286,10,1.646992
-4.088188,10,1.649526
-4.738653,10,1.666547
-6.953321,10,1.66919
-51.288768,10,1.671755
-3.117351,10,1.674288
-8.320561,10,1.676824
-2.306321,10,1.679365
-2.600435,10,1.681895
-4.734401,10,1.684434
-35.370037,10,1.687019
-9.982082,10,1.689614
-5.368754,10,1.705946
-3.399687,10,1.708509
-4.088778,10,1.711071
-12.052851,10,1.71369
-4.987604,10,1.716245
-28.530784,10,1.718831
-5.134711,10,1.72134
-1.295653,10,1.723859
-10.678842,10,1.726366
-3.368264,10,1.728986
-3.16198,10,1.745212
-3.376689,10,1.747743
-3.218914,10,1.75033
-4.926315,10,1.752882
-3.069413,10,1.755428
-4.92792,10,1.757946
-4.277555,10,1.760531
-4.794686,10,1.763053
-16.713564,10,1.7656
-4.678918,10,1.768285
-9.361598,10,1.784807
-3.071124,10,1.787415
-11.282848,10,1.790109
-20.513856,10,1.792697
-3.770662,10,1.795279
-33.701098,10,1.797836
-2.476634,10,1.80046
-4.849243,10,1.803064
-4.231841,10,1.805611
-14.975625,10,1.808151
-18.343926,10,1.8255
-7.230596,10,1.828123
-8.71513,10,1.830791
-7.659639,10,1.833386
-3.933136,10,1.835974
-1.735241,10,1.838529
-0.991033,10,1.841063
-3.465539,10,1.8436
-5.359018,10,1.846154
-14.800357,10,1.848717
-6.169021,10,1.865498
-31.385161,10,1.868105
-3.388294,10,1.870687
-4.799286,10,1.873234
-12.718222,10,1.875775
-3.487572,10,1.87831
-4.657003,10,1.88086
-13.211189,10,1.88346
-14.247197,10,1.886003
-12.754393,10,1.888602
-1.754382,10,1.905181
-2.97901,10,1.90775
-6.958092,10,1.910305
-7.328319,10,1.912837
-7.39514,10,1.91545
-7.188223,10,1.917988
-6.544891,10,1.920614
-2.794345,10,1.923139
-3.715278,10,1.925663
-2.342497,10,1.928223
-9.37106,10,1.944535
-1.9435,10,1.947035
-62.531032,10,1.949595
-5.163338,10,1.952117
-13.608062,10,1.954707
-11.223192,10,1.957198
-8.219657,10,1.959788
-7.680216,10,1.962308
-4.781622,10,1.964858
-6.200805,10,1.967384
-2.229226,10,1.983627
-4.428213,10,1.986198
-2.393984,10,1.988793
-3.117139,10,1.991391
-17.128909,10,1.993942
-2.597241,10,1.996502
-38.973689,10,1.999066
-2.412487,10,2.001655
-10.932005,10,2.004179
-2.473578,10,2.006704
-21.810526,10,2.02399
-27.716897,10,2.02652
-2.171511,10,2.029144
-18.371373,10,2.031738
-5.861328,10,2.034311
-15.858949,10,2.036976
-42.73317,10,2.039515
-8.083979,10,2.04206
-7.918315,10,2.044585
-1.149426,10,2.047213
-2.567748,10,2.064806
-2.729483,10,2.067386
-3.379052,10,2.070268
-9.798627,10,2.072913
-4.744583,10,2.075607
-7.04833,10,2.078122
-9.363179,10,2.080842
-5.648064,10,2.083552
-1.160147,10,2.086136
-3.318973,10,2.088706
-6.841477,10,2.105756
-8.339742,10,2.108335
-7.066943,10,2.110885
-3.569109,10,2.113502
-3.164181,10,2.116199
-1.075669,10,2.118796
-8.399075,10,2.121361
-9.242466,10,2.12391
-18.37624,10,2.126443
-11.184709,10,2.128994
-6.629413,10,2.145767
-4.331013,10,2.148367
-8.293587,10,2.150922
-4.961383,10,2.153481
-2.242491,10,2.156054
-4.06607,10,2.158577
-6.943509,10,2.161133
-12.556443,10,2.163761
-88.966206,10,2.166312
-10.175149,10,2.168875
-35.186418,10,2.185499
-6.607622,10,2.188076
-14.550552,10,2.190598
-35.120344,10,2.19325
-9.963748,10,2.196103
-3.582002,10,2.198739
-4.707107,10,2.201369
-13.344299,10,2.204031
-4.541014,10,2.20671
-4.253245,10,2.209383
-6.322707,10,2.227506
-7.285555,10,2.230023
-4.822968,10,2.232631
-2.288039,10,2.2352
-13.459373,10,2.23774
-5.218816,10,2.240288
-4.583927,10,2.242787
-7.662643,10,2.245273
-4.574062,10,2.247669
-3.709536,10,2.250231
-3.335564,10,2.267722
-5.420297,10,2.270251
-40.871083,10,2.272789
-8.730775,10,2.275159
-4.322253,10,2.277443
