loss_pol_surr,ev_tdlam_before,EpRewMean,loss_vf_loss,loss_pol_entpen,EpLenMean,TimestepsSoFar,TimeElapsed,EpisodesSoFar,loss_ent,EpThisIter,loss_kl
-0.026766881,0.004329562187194824,-52.8807979862983,1521.8351,0.0,16.0,160,0.14677834510803223,10,8.511693,10,0.0048886677
-0.04001139,0.0002079606056213379,-62.93715175157233,6534.262,0.0,16.0,320,0.21670198440551758,20,8.51458,10,0.009317871
-0.047476694,0.0072425007820129395,-58.89203802236386,1031.5225,0.0,16.0,480,0.2873401641845703,30,8.510652,10,0.0073504513
-0.0047480017,-0.025438666343688965,-49.95302205839623,121.03329,0.0,16.0,640,0.3531332015991211,40,8.513421,10,0.005643733
-0.041836634,-0.0047130584716796875,-54.02195825958158,3463.552,0.0,16.0,800,0.41861629486083984,50,8.519507,10,0.0034199408
-0.13628227,-0.010667562484741211,-53.34482491965236,707.1527,0.0,16.0,960,0.48786020278930664,60,8.518039,10,0.012093302
-0.009096578,-0.07211244106292725,-50.74429877369893,392.80667,0.0,16.0,1120,0.5530815124511719,70,8.513564,10,0.005109313
-0.042386726,0.01558828353881836,-48.0341865450865,342.06876,0.0,16.0,1280,0.6198363304138184,80,8.500008,10,0.013412522
-0.024214584,-0.14000368118286133,-45.02556417220875,141.47028,0.0,16.0,1440,0.6877846717834473,90,8.499549,10,0.009887682
-0.03477549,-0.32616865634918213,-42.521543581436454,69.99136,0.0,16.0,1600,0.7543525695800781,100,8.497185,10,0.008480301
-0.10627433,-0.01717066764831543,-40.28203372717078,221.96222,0.0,16.0,1760,0.8219666481018066,110,8.486354,10,0.016734693
-0.007361809,-0.06381368637084961,-35.25285133525461,132.93631,0.0,16.0,1920,0.8917462825775146,120,8.480255,10,0.010551888
-0.078015834,-0.8180099725723267,-31.620578809477987,43.685192,0.0,16.0,2080,0.9606962203979492,130,8.461165,10,0.0070710215
-0.019793987,-0.07357406616210938,-32.032009731299674,244.01102,0.0,16.0,2240,1.0296604633331299,140,8.448951,10,0.01023861
0.012532262,-0.0748598575592041,-27.023310015741064,58.420677,0.0,16.0,2400,1.0983161926269531,150,8.448394,10,0.008525078
-0.04809145,-0.09981644153594971,-24.01836727199709,82.59984,0.0,16.0,2560,1.1653110980987549,160,8.440881,10,0.009130811
-0.047935538,-0.07822597026824951,-21.79066112833951,27.06805,0.0,16.0,2720,1.2324368953704834,170,8.443054,10,0.019300897
-0.072569236,0.12383049726486206,-20.29312254213589,19.881413,0.0,16.0,2880,1.3026411533355713,180,8.451675,10,0.027252719
-0.019340336,0.015372514724731445,-19.93697312241819,106.41223,0.0,16.0,3040,1.3681409358978271,190,8.456428,10,0.015688675
-0.11614918,-0.10573327541351318,-19.477463023213563,71.56747,0.0,16.0,3200,1.4348986148834229,200,8.452923,10,0.016434541
-0.062117748,-0.06350874900817871,-17.996123786591816,46.41088,0.0,16.0,3360,1.5046865940093994,210,8.44007,10,0.023872731
-0.022081446,-0.06964051723480225,-19.17402189073484,451.32697,0.0,16.0,3520,1.572249412536621,220,8.43661,10,0.01142272
-0.01951697,-0.11010122299194336,-19.411901077223824,97.62326,0.0,16.0,3680,1.6380541324615479,230,8.431869,10,0.015492976
-0.1122209,0.13255274295806885,-18.21346346317332,37.576767,0.0,16.0,3840,1.7073431015014648,240,8.426407,10,0.020626659
-0.026386939,-0.03613138198852539,-20.460606521755345,1499.8706,0.0,16.0,4000,1.7739825248718262,250,8.424793,10,0.011076197
-0.048029233,-0.2835569381713867,-19.51164932066156,45.51069,0.0,16.0,4160,1.8419735431671143,260,8.42598,10,0.010792706
-0.028848272,-0.17511940002441406,-19.50222032759571,51.076935,0.0,16.0,4320,1.909935474395752,270,8.431068,10,0.015953206
-0.07051841,-0.048514485359191895,-21.13967228325547,337.90912,0.0,16.0,4480,1.9763104915618896,280,8.420407,10,0.007331815
-0.02600911,0.03436839580535889,-21.903621611383485,161.54657,0.0,16.0,4640,2.044672727584839,290,8.403591,10,0.013724938
-0.0151466355,-0.02230691909790039,-22.061097819604328,167.11343,0.0,16.0,4800,2.112680435180664,300,8.391799,10,0.015319804
-0.08267605,-0.26932692527770996,-21.84978609629772,31.558008,0.0,16.0,4960,2.1812989711761475,310,8.386823,10,0.010916298
-0.06956416,-0.2264542579650879,-20.103530456090848,62.8135,0.0,16.0,5120,2.2471401691436768,320,8.384179,10,0.01724049
-0.038517896,-0.19019675254821777,-19.365388368385492,16.920845,0.0,16.0,5280,2.3167219161987305,330,8.369777,10,0.012158353
-0.07790093,-0.1708226203918457,-19.162432937874623,25.981155,0.0,16.0,5440,2.381885528564453,340,8.363213,10,0.010224897
-0.029554987,0.01599299907684326,-16.31025921578401,31.877436,0.0,16.0,5600,2.4483742713928223,350,8.360705,10,0.011940045
-0.0039822794,-0.08463990688323975,-16.540329333493535,16.49092,0.0,16.0,5760,2.5185225009918213,360,8.350081,10,0.009557305
-0.0010903217,0.016591250896453857,-16.661215680271376,38.599743,0.0,16.0,5920,2.585252523422241,370,8.342094,10,0.014836098
-0.004289305,-0.006095409393310547,-14.89129269179271,37.801598,0.0,16.0,6080,2.65058970451355,380,8.337241,10,0.012998475
-0.036927737,0.035538554191589355,-14.514090373969134,111.46777,0.0,16.0,6240,2.7233810424804688,390,8.326501,10,0.011059267
-0.024135903,-0.1434156894683838,-14.131802738330473,42.407223,0.0,16.0,6400,2.790494203567505,400,8.330188,10,0.014551269
-0.048679106,-0.0578455924987793,-15.508273406826303,231.3304,0.0,16.0,6560,2.858473777770996,410,8.321933,10,0.016137455
-0.07016985,-0.12067639827728271,-15.046958607575295,97.52951,0.0,16.0,6720,2.926767349243164,420,8.323129,10,0.015279894
-0.019229079,-0.17768597602844238,-15.535643086232522,38.882,0.0,16.0,6880,2.9939064979553223,430,8.321303,10,0.019438442
-0.023041297,0.2493235468864441,-15.57725224131702,21.84887,0.0,16.0,7040,3.0598537921905518,440,8.315698,10,0.027617801
-0.07078594,-0.08033382892608643,-15.905134229063874,72.69934,0.0,16.0,7200,3.130733013153076,450,8.315456,10,0.021497652
-0.042139724,0.11870801448822021,-16.178010435305932,17.6097,0.0,16.0,7360,3.199420690536499,460,8.311095,10,0.01420099
-0.040008776,0.058428049087524414,-16.233377808042604,47.670135,0.0,16.0,7520,3.266906261444092,470,8.303325,10,0.020241987
-0.072120234,0.08567976951599121,-16.66313392682222,29.598988,0.0,16.0,7680,3.3387560844421387,480,8.285977,10,0.02623327
-0.114391215,-0.005559086799621582,-17.557813129810594,366.25568,0.0,16.0,7840,3.4082069396972656,490,8.273232,10,0.017685337
-0.030790143,0.3526790142059326,-17.4823758121398,22.541405,0.0,16.0,8000,3.478757619857788,500,8.263038,10,0.03283691
-0.054852698,0.16630011796951294,-16.911753616545667,62.483574,0.0,16.0,8160,3.548007011413574,510,8.251602,10,0.021536134
-0.018154573,0.15051573514938354,-16.824962937511085,33.52373,0.0,16.0,8320,3.6154472827911377,520,8.242682,10,0.026507221
-0.07053436,0.012562572956085205,-18.146924961893266,354.01108,0.0,16.0,8480,3.6825110912323,530,8.238373,10,0.019712983
-0.07111166,0.21482831239700317,-18.37658191244356,37.838844,0.0,16.0,8640,3.7498035430908203,540,8.229983,10,0.049472976
0.025522847,0.031844913959503174,-18.94122871491453,281.87225,0.0,16.0,8800,3.816373586654663,550,8.221681,10,0.0145679
-0.017908152,0.02495366334915161,-20.048865476189427,254.28319,0.0,16.0,8960,3.8818085193634033,560,8.2237215,10,0.016651124
-0.111161396,0.021838843822479248,-20.033965232847592,53.753757,0.0,16.0,9120,3.9466941356658936,570,8.21341,10,0.033278644
-0.124521874,0.02876746654510498,-19.496819811815048,27.867184,0.0,16.0,9280,4.012570142745972,580,8.210747,10,0.014026338
-0.08054654,0.0746157169342041,-17.812364691208405,24.673119,0.0,16.0,9440,4.079049825668335,590,8.20716,10,0.015796099
-0.028093964,0.17941099405288696,-17.35659215240959,13.2857685,0.0,16.0,9600,4.1469738483428955,600,8.211049,10,0.019763034
-0.09649187,0.24374812841415405,-16.216142487002543,9.020931,0.0,16.0,9760,4.2151336669921875,610,8.215453,10,0.014208329
-0.051285896,0.05898785591125488,-16.406804586709413,25.484615,0.0,16.0,9920,4.280954599380493,620,8.209462,10,0.014878512
-0.07029326,0.06600546836853027,-15.152591252452542,50.116955,0.0,16.0,10080,4.346472263336182,630,8.198654,10,0.013765879
-0.0038613118,0.15107661485671997,-14.821143210349657,21.942543,0.0,16.0,10240,4.412300109863281,640,8.196021,10,0.020869773
-0.04063987,0.1004331111907959,-13.506217003293916,13.557231,0.0,16.0,10400,4.479820013046265,650,8.189652,10,0.020710815
-0.04864967,0.05038905143737793,-13.762519158131026,237.3999,0.0,16.0,10560,4.544785737991333,660,8.179623,10,0.02027312
-0.11636577,-0.04918074607849121,-13.826827147754736,47.84353,0.0,16.0,10720,4.610386610031128,670,8.180121,10,0.01369757
-0.07099763,-0.01785409450531006,-13.670493184724046,25.062267,0.0,16.0,10880,4.674510717391968,680,8.18142,10,0.012174929
-0.009097762,0.043013036251068115,-15.006330252849857,519.3124,0.0,16.0,11040,4.740774631500244,690,8.183319,10,0.012807049
-0.042491123,0.1810532808303833,-15.32696467662975,22.820612,0.0,16.0,11200,4.805954456329346,700,8.184238,10,0.018524133
-0.1108795,0.028003692626953125,-15.443868854205391,18.135975,0.0,16.0,11360,4.87256121635437,710,8.181624,10,0.020638231
-0.07573071,-0.211378812789917,-15.332327726123061,20.926931,0.0,16.0,11520,4.938649654388428,720,8.180558,10,0.013600002
-0.053343855,0.3417132496833801,-15.115280603394064,11.978669,0.0,16.0,11680,5.003601789474487,730,8.181363,10,0.017884558
0.00729762,0.020005643367767334,-15.392295886571915,68.31436,0.0,16.0,11840,5.071066379547119,740,8.185525,10,0.015849251
-0.08898999,0.3033110499382019,-15.453267367772504,10.431116,0.0,16.0,12000,5.1385109424591064,750,8.177514,10,0.019518033
-0.0324091,0.022856175899505615,-14.204869995212526,55.67684,0.0,16.0,12160,5.203763723373413,760,8.1717615,10,0.01561103
-0.07209971,0.02996659278869629,-14.844011458398846,163.98042,0.0,16.0,12320,5.269810676574707,770,8.172027,10,0.018399745
-0.01829062,0.026917457580566406,-15.476629786578641,62.134212,0.0,16.0,12480,5.340151071548462,780,8.16915,10,0.008956232
-0.031855837,0.032152771949768066,-14.437406675617947,80.82089,0.0,16.0,12640,5.4064366817474365,790,8.160304,10,0.015213776
-0.045724235,0.0664476752281189,-15.019939781884457,56.260384,0.0,16.0,12800,5.472606897354126,800,8.156689,10,0.018817928
-0.10418445,0.1300371289253235,-15.027654914501387,16.355469,0.0,16.0,12960,5.5409324169158936,810,8.150054,10,0.011820341
-0.02491502,-0.10923445224761963,-15.263771334831837,48.597363,0.0,16.0,13120,5.606716156005859,820,8.139657,10,0.01465771
-0.059796847,0.13170677423477173,-15.229872907675276,16.33564,0.0,16.0,13280,5.672556161880493,830,8.124951,10,0.016149532
-0.059298694,0.22361189126968384,-14.934652848644289,12.01037,0.0,16.0,13440,5.739156723022461,840,8.1186,10,0.01307013
-0.020625986,0.34122341871261597,-14.816069250533301,8.242104,0.0,16.0,13600,5.803873062133789,850,8.123784,10,0.011682423
0.0002689995,0.20696109533309937,-14.329161233039077,16.573856,0.0,16.0,13760,5.871233940124512,860,8.126792,10,0.0103247035
-0.0900131,0.065787672996521,-14.319129179564083,147.73827,0.0,16.0,13920,5.94042706489563,870,8.122603,10,0.022172764
-0.060729682,0.12154704332351685,-13.928796172790557,15.989376,0.0,16.0,14080,6.011002540588379,880,8.114303,10,0.016490456
-0.050704278,0.01879096031188965,-14.991513285932927,635.20496,0.0,16.0,14240,6.07885217666626,890,8.109246,10,0.01620619
-0.06374803,0.023998260498046875,-15.355473200110849,143.17274,0.0,16.0,14400,6.149035930633545,900,8.102899,10,0.014371626
-0.07911539,-0.05642998218536377,-15.500836158962107,64.6447,0.0,16.0,14560,6.219135046005249,910,8.100419,10,0.030549383
-0.038798697,0.000925600528717041,-15.950208503521113,418.58102,0.0,16.0,14720,6.287231922149658,920,8.095303,10,0.0133554395
-0.020802315,0.06557172536849976,-15.781351575553492,28.803051,0.0,16.0,14880,6.356129884719849,930,8.091575,10,0.016078291
-0.04842896,-0.09948933124542236,-15.767472308633671,27.389599,0.0,16.0,15040,6.424371719360352,940,8.08374,10,0.010863697
-0.08800183,0.14405542612075806,-16.115622616755896,23.706757,0.0,16.0,15200,6.494674205780029,950,8.069389,10,0.017951427
-0.049671993,0.031062602996826172,-20.831217462197756,3675.2473,0.0,16.0,15360,6.564456462860107,960,8.057435,10,0.012021966
-0.04567933,0.2046634554862976,-19.64584459723888,65.230576,0.0,16.0,15520,6.630793571472168,970,8.041293,10,0.010199975
-0.10302501,-1.0351696014404297,-19.66471120847029,43.93872,0.0,16.0,15680,6.695165157318115,980,8.023534,10,0.013858154
-0.0045219027,-0.345811128616333,-18.332293192292344,32.01621,0.0,16.0,15840,6.763059377670288,990,8.019471,10,0.020241503
-0.06379034,0.09786748886108398,-17.323374732762712,29.384632,0.0,16.0,16000,6.8283913135528564,1000,8.011433,10,0.013459271
-0.02835342,0.025953173637390137,-19.349600755453768,439.8446,0.0,16.0,16160,6.894562482833862,1010,8.004134,10,0.011321393
-0.10819447,0.018366634845733643,-19.433831353589657,52.562195,0.0,16.0,16320,6.960888624191284,1020,8.012038,10,0.018797448
0.021063797,0.02431666851043701,-20.58620687268805,286.6754,0.0,16.0,16480,7.030041933059692,1030,8.023627,10,0.016392004
-0.082249895,0.29385626316070557,-21.20061917404554,46.581486,0.0,16.0,16640,7.095592021942139,1040,8.024611,10,0.013772616
-0.09347112,0.05698215961456299,-21.13840326854764,24.078892,0.0,16.0,16800,7.163842439651489,1050,8.014037,10,0.010809995
-0.054362092,-0.19870996475219727,-16.22730809977502,22.071068,0.0,16.0,16960,7.228238582611084,1060,8.00377,10,0.014301086
-0.011743216,0.17562264204025269,-16.78508495072211,37.30003,0.0,16.0,17120,7.2925567626953125,1070,7.9977956,10,0.019132955
-0.0414457,0.3615136742591858,-16.599198870752506,11.564088,0.0,16.0,17280,7.358557462692261,1080,7.989144,10,0.013160949
0.013904491,0.13867443799972534,-16.205678343773386,16.01905,0.0,16.0,17440,7.4251868724823,1090,7.9883504,10,0.017430127
-0.023078464,0.11911720037460327,-16.323261880509804,15.385974,0.0,16.0,17600,7.494092702865601,1100,7.983239,10,0.011695646
